names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group
CXCL16,13.819543,0.5863614,1.942987090133836e-43,7.423397241312861e-43,0.0692027931335467
EMP3,13.798675,0.4921125,2.595808655287107e-43,9.879864881910245e-43,0.07626927553098632
ICOSLG,13.605192,0.52067226,3.7298641287847703e-42,1.4036067642532162e-41,0.07366526040151294
AQP3,13.281223,0.36591217,2.9749528792801186e-40,1.1111671015520145e-39,0.14953447774221704
CXCL12,13.260834,-0.4567568,3.905285732286305e-40,1.4532308617169485e-39,0.24950901949374454
CRIP1,13.122189,0.8226373,2.4573497691847682e-39,9.076779036730453e-39,0.1554262438172825
LGALS1,12.980506,0.45127013,1.578341654950295e-38,5.766131374471698e-38,0.10318591795170207
TYROBP,12.745657,0.8546082,3.2960261473037393e-37,1.191091037346947e-36,0.053655077102123944
AP1S3,12.729855,0.6528994,4.035877651054505e-37,1.4532063052897695e-36,0.05819391911550771
CAV1,12.7053175,0.6009533,5.52447269143846e-37,1.9820778366056983e-36,0.06479851614780331
PECAM1,12.648225,0.306346,1.1443111407474015e-36,4.09091232817196e-36,0.10691736979924353
PTGES,12.514717,0.9247014,6.202816529754464e-36,2.1862744177057107e-35,0.04589394821064882
SOX9,12.483917,0.8989324,9.137801741434119e-36,3.2094524712896675e-35,0.045639365725923774
REN,12.419602,0.08756022,2.0457607679279655e-35,7.160162687747879e-35,0.0642129764329357
ITGA1,12.375145,0.4960282,3.5625131534513037e-35,1.24253507547204e-34,0.08008801280186209
CCL2,12.365005,0.604941,4.0418997813028793e-35,1.4048408614875631e-34,0.0597323247017748
RXRA,12.352976,0.41892603,4.694217189594513e-35,1.6259209020014212e-34,0.08983124818155368
THBS2,12.257375,0.9791197,1.5338890041646072e-34,5.27636733047688e-34,0.04078047716031423
ITGB1,12.230333,0.43147722,2.1405769607749005e-34,7.338073759368751e-34,0.08172461448938027
HLA-DRA,12.074382,0.3870585,1.4424459141752136e-33,4.878001216518206e-33,0.11913005528076812
MAF,12.050576,0.19732942,1.925981195072093e-33,6.491269953761498e-33,0.24696319464649402
